71nl 1ds 200gp 10sm	תקינו ליה רבנן
51nl 2ds 920gp 10sm	קאמ׳٠ קסבר ٠٠٠
61nl 2ds 920gp 10sm	כי מטי ליליא דבי שימשי תקדיש ותיפסיל٠
10nl 1ds 030gp 10sm	מסייע ליה לר׳ אמי٠
50nl 1ds 030gp 10sm	היכי דמי٠
21nl 1ds 030gp 10sm	"במקומה" נפיש זוהמה٠ "שלא במקומה"
31nl 1ds 030gp 10sm	לא נפיש זוהמה٠
91nl 1ds 030gp 10sm	לא אמרן אלא "לשתות" ٠٠٠
02nl 1ds 030gp 10sm	מידע ידעי דאנינא דעתיה٠
12nl 1ds 030gp 10sm	ואנא אפילו "לשתות"
22nl 1ds 030gp 10sm	מידע ידעי דאנינא דעתאי٠
53nl 1ds 030gp 10sm	במאי קא מיפלגי٠
10nl 2ds 030gp 10sm	אילימא באחולי "עבודה" קא מיפלגי٠ דבן זומא סבר٠ מחיל "עבודה"
20nl 2ds 030gp 10sm	ור׳ יהודה סבר٠ לא מחיל "עבודה"٠ ומי
30nl 2ds 030gp 10sm	מחיל٠
70nl 2ds 030gp 10sm	אלא למיקם "בעשה"
80nl 2ds 030gp 10sm	קא מיפלגי٠ לבן זומא קאי "בעשה"٠
90nl 2ds 030gp 10sm	לר׳ יהודה לא קאי "בעשה"٠ ומי אית ליה לר׳
01nl 2ds 030gp 10sm	יהודה האי סברא٠
21nl 2ds 030gp 10sm	התם
31nl 2ds 030gp 10sm	כדקתני טעמא٠ ודקא ארי
41nl 2ds 030gp 10sm	לה٠ מאי ארי לה٠ משום דקא בעי למירמא עלה٠
71nl 2ds 030gp 10sm	לא קש׳٠ הא
81nl 2ds 030gp 10sm	דטביל٠ הא דלא טביל٠ אי דלא טביל "הערב שמש"
91nl 2ds 030gp 10sm	בעי٠ אלא אידי ואידי דטביל٠ הא דאסח
02nl 2ds 030gp 10sm	דעתיה٠ הא דלא אסח דעתיה٠
32nl 2ds 030gp 10sm	אלא אידי ואידי דלא
42nl 2ds 030gp 10sm	אסח דעתיה٠
82nl 2ds 030gp 10sm	"לדבריהן" דרבנן קאמ׳ להו٠ לדידי "מצורע אין צריך טבילה"٠
92nl 2ds 030gp 10sm	אלא לדידכו אודו לי זי מיחת
03nl 2ds 030gp 10sm	ורב{{ן}}^נ^ן٠ "מצורע"
13nl 2ds 030gp 10sm	דיש "בטומאה٠ כל אדם" לא דישי "בטומאה"٠
23nl 2ds 030gp 10sm	לימא٠ רבנן
33nl 2ds 030gp 10sm	דפליגי עליה דר׳ יהודה כבן זומא סבירא להו٠
43nl 2ds 030gp 10sm	והאי דקתני "מצורע להודיעך כחו" דר׳ יהודה٠ או
53nl 2ds 030gp 10sm	דילמא שני "מצורע" דדיש "בטומאה"٠ אמ׳ ליה٠
63nl 2ds 030gp 10sm	שני "מ{{ו}}צורע" דדיש "בטומאה"٠
10nl 1ds 130gp 10sm	כל דתקינו
20nl 1ds 130gp 10sm	רבנן כעין דאוריתא תקינו٠
80nl 1ds 130gp 10sm	תיבעי לבן זומא٠ עד כאן
90nl 1ds 130gp 10sm	לא קא מחיב בן זומא אלא לגואי٠ אבל לבראי
01nl 1ds 130gp 10sm	לא٠ או דילמא אתי לאי֗מ֗שוכי٠ תיבעי
11nl 1ds 130gp 10sm	לר׳ יהודה٠ עד כאן לא קאמ׳
21nl 1ds 130gp 10sm	ר׳ יהודה התם אלא דלא עביד "עבודה٠ אבל" הכא
31nl 1ds 130gp 10sm	דקא עביד "עבודה" לא٠ או דילמא לא שנא٠
41nl 1ds 130gp 10sm	תיקו٠
20nl 2ds 130gp 10sm	כיון דשישא נינהו "במשהו"
30nl 2ds 130gp 10sm	עבדי להו٠ והא איכא הך "משהו"
40nl 2ds 130gp 10sm	כיון דלא הויא אמתא לא חשיב לה٠
91nl 2ds 130gp 10sm	כמאן٠ דלא כר׳ מאיר٠ דאי
02nl 2ds 130gp 10sm	ר׳ מאיר٠ כיון דאמ׳٠ תרי קדושי "אלבישה" עביד
12nl 2ds 130gp 10sm	להו٠ הכא נמי ניבעי תרי קדושי٠
42nl 2ds 130gp 10sm	והכא בהא קא מיפלג٠
03nl 2ds 130gp 10sm	ומי מצית אמרת הכי٠
63nl 2ds 130gp 10sm	אי תניא תניא٠
73nl 2ds 130gp 10sm	בשלמא לר׳ מאיר הינו דמשכחת לה٠
10nl 1ds 230gp 10sm	עשרה קדושי٠ אלא לרבנן תשעה הוא דהוו٠ ההוא "קדוש"
20nl 1ds 230gp 10sm	בתרא דכי פשיט "בגדי קדש"
30nl 1ds 230gp 10sm	ולביש "בגדי חול" עביד ליה התם٠
70nl 1ds 230gp 10sm	גמירי٠
90nl 1ds 230gp 10sm	ואי "כסדרן" לא משכחת להי٠
40nl 2ds 230gp 10sm	איכא למיפרך
50nl 2ds 230gp 10sm	נפקא ליה מדרבי٠
01nl 2ds 230gp 10sm	ואשכחן
41nl 2ds 230gp 10sm	איכא למיפרך٠
32nl 2ds 230gp 10sm	דנפקא ליה ٠٠٠
42nl 2ds 230gp 10sm	וניכתביה
52nl 2ds 230gp 10sm	רחמנא "בל֗ש֗ון קדוש"
82nl 2ds 230gp 10sm	נפקא ליה מדר׳ אלעזר בר׳ שמעון٠
92nl 2ds 230gp 10sm	הא דרבי מפקא מדר׳ מאיר ומפקא
03nl 2ds 230gp 10sm	מדרבנן٠ דאלו רבנן אמרי "כשהוא לבוש"
13nl 2ds 230gp 10sm	מקדש٠ ור׳ "או׳" "כשהוא פשוט"
23nl 2ds 230gp 10sm	מקדש٠ ומפקא מדר׳ מאיר٠
33nl 2ds 230gp 10sm	אמ׳٠ האי "קדוש" בתרא "כשהוא לבוש" מקדש ליה٠
93nl 2ds 230gp 10sm	לא רב חסדא
04nl 2ds 230gp 10sm	אית ליה דרב אחא בר יעקב٠ ולא רב אחא בר יעקב אית ליה
14nl 2ds 230gp 10sm	דרב חסדא٠ "דאם כן" לרבי הוו להו חמיסר
24nl 2ds 230gp 10sm	קדושי٠
34nl 2ds 230gp 10sm	"מאי קרצו"٠ לישנא דקטלא٠
44nl 2ds 230gp 10sm	מאי קראה٠
64nl 2ds 230gp 10sm	מאי משמע٠ כדמתרגם רב יוסף٠ מלכו יאיא מצרים٠ עממין קטולין מצפו{{ן}}^נ^א ייתון לה למיבזה٠
94nl 2ds 230gp 10sm	הוי לה "עבודה"
40nl 1ds 330gp 10sm	אביי מסדר "מערכה" ^משמיה דגמרא^ אליבא דאבא שאול٠
22nl 1ds 330gp 10sm	ואיפוך אנא٠ מסתברא "מערכה גדולה"
32nl 1ds 330gp 10sm	עדיפא٠ אדרבה ٠٠٠
52nl 1ds 330gp 10sm	אפלו הכי "כפרתה מרובה" עדיפא٠ איבעית אימא٠
62nl 1ds 330gp 10sm	אי לא משכח "עצים למערכה שנייה٠" מי לא
72nl 1ds 330gp 10sm	מעיל "ממערכה גדולה" תו לא מידי٠
03nl 1ds 330gp 10sm	מכלל דאיתה
13nl 1ds 330gp 10sm	לחברתה٠ והאי "עליה" מיבעי לי לגופיה٠ תרי
23nl 1ds 330gp 10sm	"עליה" כתיבי٠
53nl 1ds 330gp 10sm	אפלו הכי "מכשיר" עדיף٠ מי דמי٠ "מכשיר" ٠٠٠ עביד להו٠
93nl 1ds 330gp 10sm	אלו לא משכח "עצים למערכה שניה"
04nl 1ds 330gp 10sm	מי לא מעייל "ממערכה גדולה"٠
24nl 1ds 330gp 10sm	גמרא גמירנא٠
34nl 1ds 330gp 10sm	סברא לא ידענא٠
10nl 2ds 330gp 10sm	וכי פגע "במזבח פנימי" פגע٠
50nl 2ds 330gp 10sm	וניעבדיה
60nl 2ds 330gp 10sm	לבהדיה٠ כיון דכת׳ ٠٠٠
70nl 2ds 330gp 10sm	בעינן דחזו אהדדי٠
80nl 2ds 330gp 10sm	אב{{י}}<ו>רי דרעא אטוטפתא
90nl 2ds 330gp 10sm	אסיר٠ ^היכי עביד٠ מעייל אדרעא והדר אטוטפתא^٠
31nl 2ds 330gp 10sm	ההוא "בבקר בבקר ٠٠٠" דלא צריכי שדינהו להכא٠ חד שדייה
41nl 2ds 330gp 10sm	דניקדמיה "לדם התמיד"
51nl 2ds 330gp 10sm	וחד שדייה "לדם התמיד" דקדים "להטבת שתי נרות"٠
61nl 2ds 330gp 10sm	חד שדייה "להטבת חמש נרות"٠
71nl 2ds 330gp 10sm	דהכא תלתה והכא
81nl 2ds 330gp 10sm	תרי٠
91nl 2ds 330gp 10sm	דאף על גב דהכא תרי והכא
02nl 2ds 330gp 10sm	תרי מכפר עדיף٠
52nl 2ds 330gp 10sm	אפסוקי במאי
62nl 2ds 330gp 10sm	אפסיק להי٠ הניחא לרש לקיש דאמ׳ ٠٠٠
82nl 2ds 330gp 10sm	שפיר٠ אלא לר׳ יוחנן דאמ׳ ٠٠٠
92nl 2ds 330gp 10sm	מאי איכא
03nl 2ds 330gp 10sm	למימר٠
13nl 2ds 330gp 10sm	מי מייתר האי מיבעי לי
23nl 2ds 330gp 10sm	לגופיה٠ דקא אמ׳ רחמנא٠
33nl 2ds 330gp 10sm	אמ׳ ליה٠ ולאו אוקימנה٠
43nl 2ds 330gp 10sm	"עליה ועל חברתה"٠ מכלל דאיתה לחברתה٠ תו לא מידי٠
53nl 2ds 330gp 10sm	ומאי שנא דעביד "הטבת חמש נרות" ברישא٠
63nl 2ds 330gp 10sm	כיון דאתחיל ליה
73nl 2ds 330gp 10sm	עביד רובא٠ וניעביד שית٠
04nl 2ds 330gp 10sm	והדר "יקטירו"
50nl 1ds 430gp 10sm	תנאי היא٠
60nl 1ds 430gp 10sm	מסתברא כמאן דאמ׳ ٠٠٠
70nl 1ds 430gp 10sm	לאו אמרת ٠٠٠
80nl 1ds 430gp 10sm	הכא נמי٠ ומאי טעמיה דמאן דאמ׳ ٠٠٠
90nl 1ds 430gp 10sm	גמר "חקה חקה מחביתין"٠
01nl 1ds 430gp 10sm	אי מהתם גמר ניגמריה לכולה
11nl 1ds 430gp 10sm	מילתא٠ להכי אהני "ביום ביום לאחר"٠
51nl 1ds 430gp 10sm	"ובסדרן" לא
61nl 1ds 430gp 10sm	קא מיירי٠
71nl 1ds 430gp 10sm	מנא הני מילי٠
51nl 2ds 430gp 10sm	והוינן בה٠
61nl 2ds 430gp 10sm	קרא למאן٠
10nl 1ds 530gp 10sm	מאי "פרוה"٠ פרוה
20nl 1ds 530gp 10sm	אמגושא٠
50nl 1ds 530gp 10sm	מינינא קמשמע לן٠
60nl 1ds 530gp 10sm	הא קמשמע לן٠ בציר מהכי לא נעביד٠
70nl 1ds 530gp 10sm	אי בציר מהאי וטפי מהאי לית לן בה٠
80nl 1ds 530gp 10sm	דכולי עלמא מיחת עדיפי טפי٠ מנא לן٠
70nl 2ds 530gp 10sm	פשיטא٠ מהו
80nl 2ds 530gp 10sm	דתימא٠ ניחוש "שמא לא ימסרנה יפה יפה"
90nl 2ds 530gp 10sm	קמשמע לן٠ מותיבי٠ מאי לאו "אחרים חשובין מהן" לא٠
51nl 2ds 530gp 10sm	ומי מיתחזי٠ והאמ׳ מר "חוטן כפול ששה"٠
61nl 2ds 530gp 10sm	אמ׳ אביי٠ כי חמרא במזגא٠
10nl 1ds 630gp 10sm	מאן שמעת ליה ٠٠٠
21nl 1ds 630gp 10sm	אנן הכי קשיא לן٠
31nl 1ds 630gp 10sm	אי סלקא דעתא٠ ר{׳}בי היא٠ נוקמיה "בכל עזרה כולה"
51nl 1ds 630gp 10sm	אלא מאי אית לך למימר٠ משום
61nl 1ds 630gp 10sm	חולשא "דכהן גדול"٠ הכא נמי משום חולשא "דכהן גדול"٠
81nl 1ds 630gp 10sm	היכי משכחת לה٠
91nl 1ds 630gp 10sm	ונוקמיה להדיא٠
92nl 1ds 630gp 10sm	במאי קא מיפלגי٠
10nl 2ds 630gp 10sm	"בלא דנבילה" קא מיפלגי٠ מר סבר "לא"
20nl 2ds 630gp 10sm	מעליא הוא٠ ומר סבר "לאו" לא
30nl 2ds 630gp 10sm	מעליא הוא٠ אביי אמ׳٠ דכולי עלמא "לאו דנבילה לאו"
40nl 2ds 630gp 10sm	מעליא הוא٠ והכא "בתעזב" קא מיפלגי٠
50nl 2ds 630gp 10sm	מר סבר٠ "תעזב" מעיק׳ משמע٠
60nl 2ds 630gp 10sm	ומר סבר٠ השתא משמע٠
92nl 2ds 630gp 10sm	פשיטא٠
03nl 2ds 630gp 10sm	מהו דתימא٠ מסתבר טעמיה דר׳ מאיר
13nl 2ds 630gp 10sm	דקא מסייע ליה קרא٠ קמשמע לן٠ ההוא
23nl 2ds 630gp 10sm	דנחית קמיה דרבה עבד כר׳ מאיר٠ אמ׳ ליה٠
33nl 2ds 630gp 10sm	שבקת רבנן ועבדת כר׳ מאיר٠ אמ׳ ליה٠ כר׳ מאיר סבירא
43nl 2ds 630gp 10sm	לי٠ דאמ׳ כדכת׳ בספר אוריתא דמשה٠
34nl 2ds 630gp 10sm	מאי "אם נפשך לומר"٠ וכי תימא٠ נילף٠
50nl 1ds 730gp 10sm	בשלמא חורב "מעגלה ערופה"
60nl 1ds 730gp 10sm	לא יליף٠ דמאי דהוה הוה٠ אלא "עגלה ערופה"
70nl 1ds 730gp 10sm	תילף מחורב٠ וכי תימא הכי נמי٠
90nl 1ds 730gp 10sm	אנא לא קאמ׳٠ קשיא٠
03nl 1ds 730gp 10sm	והא רישא ר׳ אלעזר בר׳ שמעון היא٠ כולה ר׳ אליעזר בן יעקב היא٠
53nl 1ds 730gp 10sm	תרגמה רב שמואל
63nl 1ds 730gp 10sm	בר אחא קמיה דרב פפא٠
73nl 1ds 730gp 10sm	דמצדד אצדודי٠
05nl 1ds 730gp 10sm	"מאי מוכני٠" גלגלא דהוו משקעי ליה٠
40nl 2ds 730gp 10sm	"וידות סכינין"٠ תרגמה אביי٠ בקתתא דנגרי וחציני٠
11nl 2ds 730gp 10sm	לשאר עמא דבירושלם٠
41nl 2ds 830gp 10sm	מאי "ושם רשעים ירקב"٠
51nl 2ds 830gp 10sm	"רקבובות תעלה בשמיהן"٠ מאי היא٠ דלא
61nl 2ds 830gp 10sm	מסקינן בשמיהו٠
12nl 2ds 830gp 10sm	חזו מאי סליקא ליה٠
32nl 2ds 830gp 10sm	אמ׳ ליה רבינא לההוא מרבנן דהוה מסדר אגדתא קמיה٠ מנא הא
42nl 2ds 830gp 10sm	מילתא דאמור רבנן "צדיק מעצמו"٠
52nl 2ds 830gp 10sm	מדאוריתא מנא לן٠
62nl 2ds 830gp 10sm	וכת׳ בתריה٠ "ואברהם היו יהיה"٠ מנא הא מילתא דאמור
72nl 2ds 830gp 10sm	רבנן٠ "רשע מחברו"٠ דכת׳٠ "ושם רשעים ירקב"٠ מדאוריתא
82nl 2ds 830gp 10sm	מנא לן٠ דכת׳ "ויאהל עד סדם"٠ וכת׳ בתרי^ה^٠ "ואנשי סדם רעים וחטאים"٠
54nl 2ds 830gp 10sm	ר׳ חייא דידיה אמ׳
64nl 2ds 830gp 10sm	מהכא٠ "רגלי חסידיו ישמר"٠ "חסידיו" תרי משמע٠
84nl 2ds 830gp 10sm	דבי ר׳ שילא אמרי٠
81nl 1ds 930gp 10sm	למה לי "טרף"٠
91nl 1ds 930gp 10sm	כי היכי דלא ניכוין ונישקול٠
12nl 1ds 930gp 10sm	כי היכי דלא ניכוין ונישקול٠ אלא "של חול היתה" ניקדשה٠ "אם כן"
22nl 1ds 930gp 10sm	הויא לה "כלי שרת"٠ "וכלי שרת דעץ" לא עבדינן٠ וניעבדה "דכסף" וניעבדה "דזהב"٠
32nl 1ds 930gp 10sm	מתניתין דלאו כי האי תנא דתניא٠
62nl 1ds 930gp 10sm	ונימא ליה "סגן"٠
72nl 1ds 930gp 10sm	כיון דלא סליק בידיה חלשא דעתיה٠ במאי קא מיפלגי٠ מר סבר٠ ימיניה "דסגן"
82nl 1ds 930gp 10sm	עדיפא משמאליה "דכהן גדול"٠ ומר סבר٠ כי הדדי נינהו٠ ומאן האי תנא
92nl 1ds 930gp 10sm	דפליג עליה דר׳ יהודה٠
74nl 2ds 930gp 10sm	איכא דאמרי٠ אליבא דר׳ נחמיה דאמ׳٠ מעכבא٠ דכלי עלמא לא פליגי
84nl 2ds 930gp 10sm	דמעכבא٠ כי פליגי אליבא דר׳ יהודה٠ מאן דאמ׳٠ לא מעכבא٠ כר׳ יהודה٠ מאן
94nl 2ds 930gp 10sm	דאמ׳٠ מעכבא٠ שני הכא דתנא ביה קרא "אשר עלה"٠ "אשר עלה"٠
05nl 2ds 930gp 10sm	מותיבי "מצוה להגריל"٠ בשלמא להך לישנא דאמרת٠ אליבא
15nl 2ds 930gp 10sm	דר׳ יהודה דכלי עלמא לא פליגי דלא מעכבא٠ הא מני٠ ר׳ יהודה היא٠
10nl 1ds 040gp 10sm	־<אלא להך לישנא דאמרת٠ פליגי٠ בשלמא>
20nl 1ds 040gp 10sm	<למאן דאמ֗ר֗٠ לא מעכבא٠ הא מני٠ ר׳ יהודה>
30nl 1ds 040gp 10sm	<היא#10#>٠ אלא למאן דאמ׳٠ מעכבא٠ הא מני٠ אימא "מצוה להניח"٠
50nl 1ds 040gp 10sm	וכי תימא٠ הכא נמי "מצוה להניח"٠
60nl 1ds 040gp 10sm	אימא סופה٠
80nl 1ds 040gp 10sm	אילימא "לא הניח"٠ מכלל דר׳ שמעון סבר "הגרלה"
90nl 1ds 040gp 10sm	מעכבא٠
11nl 1ds 040gp 10sm	ר׳ שמעון לא ידע מאי קאמרי רבנן٠
21nl 1ds 040gp 10sm	אי "הגרלה של ממש"
31nl 1ds 040gp 10sm	קאמריתו٠ פליגנא עליכו בחדא٠ אי "הגרלה הנחה"
41nl 1ds 040gp 10sm	קאמריתו٠ פליגנא עליכו
51nl 1ds 040gp 10sm	בתרתי٠
71nl 1ds 040gp 10sm	דאי אקדמיה "לשעיר"
81nl 1ds 040gp 10sm	מקמי "פר" לא עבד ולא כלום٠
91nl 1ds 040gp 10sm	מאי היא٠ אינימא דאי אקדים "מתנות דפר בהיכל"
02nl 1ds 040gp 10sm	מקמי
12nl 1ds 040gp 10sm	"חקה" כתיב בהו٠ אלא לאו٠ דאי אקדים "מתנות ٠٠٠"
22nl 1ds 040gp 10sm	מקמי "הגרלה٠ ומדכסדרן"
32nl 1ds 040gp 10sm	לא מעכבי٠ "הגרלה" נמי לא מעכבא٠
03nl 1ds 040gp 10sm	ונהי "דכסדרן" לא מעכבא٠ "הגרלה"
13nl 1ds 040gp 10sm	מיחת מעכבא٠ ואזדו לטעמיהו٠
31nl 2ds 040gp 10sm	הא לאו הכי מהדר ליה٠ ואי אמרת "הגרלה" מעכבא٠
41nl 2ds 040gp 10sm	כיון דקבעתיה "שמאל" היכי מהדר ליה "לימין"٠
02nl 2ds 040gp 10sm	למאי٠ אילימא "להניח" מכלל "דהנחה מצוה"
12nl 2ds 040gp 10sm	נמי לא٠ אלא לאו "לעכב"٠ ושמע מינה "הגרלה"
22nl 2ds 040gp 10sm	מעכבא٠
10nl 1ds 140gp 10sm	סתם סיפרא מני٠ ר׳ יהודה היא٠
20nl 1ds 140gp 10sm	אלמא "הגרלה"
30nl 1ds 140gp 10sm	מעכבא٠ תיובתיה דמאן דאמ׳ לר׳ יהודה "הגרלה"
40nl 1ds 140gp 10sm	לא מעכבא٠ תיובתא٠
82nl 1ds 140gp 10sm	ותסברה٠
13nl 1ds 140gp 10sm	וכיון "דלא יצא" היכי קבע٠ אלא מאי אית
23nl 1ds 140gp 10sm	למימר "שכבר אמר" מעיקרא٠ הכא נמי٠
30nl 2ds 140gp 10sm	מאי ניהו٠ דפריק להו٠
50nl 2ds 140gp 10sm	או "עלה" זבן ٠٠٠
70nl 2ds 140gp 10sm	אי "חטאת" זבן٠
80nl 2ds 140gp 10sm	גופה٠
31nl 2ds 140gp 10sm	שני התם דכת׳ "זאת"٠ אי הכי
41nl 2ds 140gp 10sm	רישא נמי٠ רבי רחמנא "תורת"٠
71nl 2ds 140gp 10sm	ונילף מינה٠ מיעט רחמנא٠
63nl 2ds 140gp 10sm	אי אמרת בשלמא "אקשירה" קאי٠
73nl 2ds 140gp 10sm	שפיר٠ אלא אי אמרת "אהעמדה" קאי٠ נהי
83nl 2ds 140gp 10sm	דחבריה לא מיערב٠ דהאי קטיר ביה והאי
93nl 2ds 140gp 10sm	לא קטיר ביה٠ באחריני מי לא מיערב٠ אלא
04nl 2ds 140gp 10sm	לאו שמע מינה "אקשירה" קאי٠ שמע מינה٠
24nl 2ds 140gp 10sm	ולא ידענא הי מיניהו٠
34nl 2ds 140gp 10sm	ניחזי אנן٠ "של שעיר המשתלח" דבעיא "חלוקה" בעיא "שעור"٠
44nl 2ds 140gp 10sm	"של פרה" דלא בעיא "חלוקה" לא בעיא "שיעור"٠
54nl 2ds 140gp 10sm	אותיביה٠
94nl 2ds 140gp 10sm	תנאי היא٠
35nl 2ds 140gp 10sm	כי אתא רבין פירשה משמיה דר׳ יונתן٠
80nl 1ds 240gp 10sm	וההוא יומא נח
90nl 1ds 240gp 10sm	נפשיה דרביא בר קיסי٠ ואנחו בה סימנא٠
01nl 1ds 240gp 10sm	רביא בר קיסי מכפר ביה "בשעיר המשתלח"٠
31nl 1ds 240gp 10sm	ולא ידענא הי מיניהו٠ איתמר٠
61nl 1ds 240gp 10sm	תסתיים דרב הוא٠
81nl 1ds 240gp 10sm	תסתיים٠
32nl 1ds 240gp 10sm	ולאו כל דכן הוא "קדשי בדק הבית" בעו "כהנה٠ קדשי מזבח" מיבעיא٠
42nl 1ds 240gp 10sm	מידי דהוה "אמראות נגעים" דלאו "עבודה" היא
52nl 1ds 240gp 10sm	ובעיא "כהנה"٠
03nl 1ds 240gp 10sm	ושמואל מנא ליה٠ נפקא ליה "מושרף את הפרה לעיניו"٠
13nl 1ds 240gp 10sm	ורב٠ חד "בשחיטה" וחד "בשריפה"٠
23nl 1ds 240gp 10sm	וצריכי٠ דאי כתב רחמנא "בשחיטה"
33nl 1ds 240gp 10sm	מש׳ "דתחלת עבודה" היא٠ "אבל שריפה"
43nl 1ds 240gp 10sm	אימא לא٠ ואי כתב רחמנא "בשריפה"٠
53nl 1ds 240gp 10sm	השתא הוא דקא מיתכשרא "פרה"٠
63nl 1ds 240gp 10sm	אימא לא٠ צריכי٠ למעוטי מאי٠ אינימא
73nl 1ds 240gp 10sm	למעוטי "אסיפת ٠٠٠" כת׳٠
10nl 2ds 240gp 10sm	אלא למעוטי "השלכת ٠٠٠"
30nl 2ds 240gp 10sm	דלאו גופה "דפרה" נינהו٠
60nl 2ds 240gp 10sm	מותיב רב יהושע בר אבא לסיועיה לרב٠
22nl 2ds 240gp 10sm	והא מאי תיובתא٠
52nl 2ds 240gp 10sm	היני תיובתא "אשה"٠
23nl 2ds 240gp 10sm	אלא למאן דאמ׳ "לדורות בכהן גדול"٠
33nl 2ds 240gp 10sm	מנא ליה٠ גמר ٠٠٠
93nl 2ds 240gp 10sm	ותנא קמא נמי
04nl 2ds 240gp 10sm	הכת׳ "אותה"٠ מאן תנא קמא٠ ר׳ שמעון הוא דדריש
14nl 2ds 240gp 10sm	טעמיה דקרא٠ מאי ביניהו٠ איכא ביניהו٠
10nl 1ds 340gp 10sm	דאפיק "חמור" בהדה٠
50nl 1ds 340gp 10sm	לשמואל٠ לאהדריה לאלעזר٠
90nl 1ds 340gp 10sm	לרב איצטריך٠ סלקא דעת׳
01nl 1ds 340gp 10sm	אמינא "הואיל" ולאו גופה "דפרה" נינהו לא
11nl 1ds 340gp 10sm	ניבעי "כהן" כלל٠ קמשמע לן٠
61nl 1ds 340gp 10sm	מילתא דאתיא "בקל וחומר"
71nl 1ds 340gp 10sm	טרח וכתיב לה קרא٠
52nl 1ds 340gp 10sm	הנך
62nl 1ds 340gp 10sm	דפסלי לך "באסיפה"٠ פסלי לך "בקידוש"٠ הנך
72nl 1ds 340gp 10sm	דאכשרי לך "באסיפה"٠ אכשרי לך "בקדוש"٠
03nl 1ds 340gp 10sm	אי כתב
13nl 1ds 340gp 10sm	רחמ׳ "ולקח"٠ עד דשקיל חד ויהיב
23nl 1ds 340gp 10sm	חד٠ כתב רחמנא
33nl 1ds 340gp 10sm	"ולקחו"٠ ואי ֗{{ב}}^כ^֗תב רחמנא "ולקחו ונתנו"٠ הוה אמינא٠ עד דשקלי תרי ויהבי
43nl 1ds 340gp 10sm	תרי٠ כתב רחמנא "ולקחו ונתן"٠ דשקלי
53nl 1ds 340gp 10sm	תרי ויהיב חד٠
20nl 2ds 340gp 10sm	ממילא٠
30nl 2ds 340gp 10sm	פליג٠
50nl 2ds 340gp 10sm	כי הוו בה ר׳ יוחנן וריש לקיש
60nl 2ds 340gp 10sm	"בפרה" לא מסקי מינה כדמסיק תעלא מבי
80nl 2ds 340gp 10sm	ומשמע ממילא٠ תני תנא
90nl 2ds 340gp 10sm	קמיה דר׳ יוחנן
01nl 2ds 340gp 10sm	אמ׳ ליה٠ פוק תני
11nl 2ds 340gp 10sm	לברא٠
21nl 2ds 340gp 10sm	ור׳ יוחנן לא מיבעיא דתנא דלא צאית אלא
31nl 2ds 340gp 10sm	אפי׳ דרביה נמי לא צאית٠
61nl 1ds 440gp 10sm	"וקטרת" מכפרא٠ אין٠
62nl 1ds 440gp 10sm	ואמרי לה כדי٠
53nl 1ds 440gp 10sm	"בשעת הקטרה" מי֗ח֗א פרשי٠
73nl 1ds 440gp 10sm	והאיכא
83nl 1ds 440gp 10sm	הא "מעלה"٠ דאלו "בהיכל" פרשי בין "בשעת הקטרה"
93nl 1ds 440gp 10sm	דידיה בין "בשעת ٠٠٠"
04nl 1ds 440gp 10sm	ואלו "דבין אולם למזבח" לא פרשי אלא "בשעת הקטרה"٠
10nl 2ds 440gp 10sm	והאיכא הא "מעלה"
20nl 2ds 440gp 10sm	דאלו "בהיכל" פרשי{{ה}} בין "בקדושה" דידיה בין "בקדושה דלפני לפנים"٠
30nl 2ds 440gp 10sm	ואלו "דבין אולם למזבח"
40nl 2ds 440gp 10sm	לא פרשי אלא "בקדושה דהיכל"٠
90nl 2ds 440gp 10sm	שמע מ^י^נה "מעלות"
01nl 2ds 440gp 10sm	דאוריתא٠ והכי גמירי להי٠ דאי סלקא דעתא דרבנן٠
11nl 2ds 440gp 10sm	מאי שנא "בין אולם למזבח" דילמא מקרו
21nl 2ds 440gp 10sm	עיילי٠ "בעזרה" נמי ניפרשו דילמא מיקרו
31nl 2ds 440gp 10sm	עיילי٠ "בין אולם למזבח"٠ כיון דלא מפסיק
41nl 2ds 440gp 10sm	מידי לא מנכרא מילתא٠ "עזרה" כיון דאיכא "מזבח חיצון"٠
51nl 2ds 440gp 10sm	דמפסיק מנכרא מילתא٠
61nl 2ds 440gp 10sm	שמע מינה٠ "קדושת היכל ואולם" חדא קדושתא
71nl 2ds 440gp 10sm	היא٠ דאי סלק׳ דעתא "שתי קדושות" נינהי٠ "אולם" גופיה "גזירה"
81nl 2ds 440gp 10sm	ואנן ניקום נגזר "גזירה לגזירה"٠
32nl 2ds 440gp 10sm	מאי טעמא٠ משום חולשא٠
52nl 2ds 440gp 10sm	תני חדא٠ "קב" ותניא
62nl 2ds 440gp 10sm	אידך "קביים"٠ בשלמא הא דתניא٠ "קב"٠ רבנן٠ אלא
72nl 2ds 440gp 10sm	הא דתניא "קבים"٠ מני٠ לא רבנן ולא ר׳ יוסי٠
40nl 1ds 540gp 10sm	חמשה הוו וכל חד וחד אית ביה "זהב וזהב טוב"٠
51nl 1ds 540gp 10sm	מאי טעמא٠ משום חולשא "דכהן גדול"٠
03nl 1ds 540gp 10sm	דכולי עלמא מיחת
13nl 1ds 540gp 10sm	תרתי אית להו٠
63nl 1ds 540gp 10sm	ההוא "להצתת ^א^ליתה" הוא דאתא٠
