90nl 1ds 200gp 10sm	למאי הילכתא
74nl 1ds 030gp 10sm	"מחצית היום ולהלן" לישתרי٠
84nl 1ds 030gp 10sm	לא צריכה٠ דאיבני "סמוך לשקיעת"
94nl 1ds 030gp 10sm	"החמה" או נמי דאיבני בליליא٠
30nl 2ds 030gp 10sm	ומי סבר לה כואתיה٠ והא מפלג פליג עילויה٠
70nl 2ds 030gp 10sm	התם ר׳ יהודה הוא דקא טעא٠ הוא
80nl 2ds 030gp 10sm	סבר רבן יוחנן בן זכאי דרבנן קאמ׳٠ ולא
90nl 2ds 030gp 10sm	היא٠ רבן יוחנן בן זכי דאוריתא קאמ׳٠
22nl 2ds 030gp 10sm	פוק תני להו٠
04nl 2ds 030gp 10sm	יאמרת בשלמ׳ כל היכא דמסתפקא לן מילתא אמרינן "שירה"
14nl 2ds 030gp 10sm	"דחול"٠ הינו דקאמר٠ "אומרו וכופלו"٠ אלא יאמרת٠
24nl 2ds 030gp 10sm	לא אמרינן כלל٠ מאי "כופלו"٠
10nl 1ds 130gp 10sm	שאני התם דשירה דיומיהי٠
42nl 1ds 130gp 10sm	שיתא אלפי שני האוי עלמא וחד
52nl 1ds 130gp 10sm	חרוב٠
62nl 1ds 130gp 10sm	אביי אמר٠ תרי חרוב٠
72nl 1ds 130gp 10sm	במוספי דשבתא מאי٠
23nl 1ds 130gp 10sm	במנחתא
33nl 1ds 130gp 10sm	דשבתא מאי٠
53nl 1ds 130gp 10sm	אבעיא להו٠ כולהו
63nl 1ds 130gp 10sm	בחדא שבתא אמ׳ להו٠ או דלמא כל שבתא
73nl 1ds 130gp 10sm	אמר חד٠
24nl 1ds 130gp 10sm	מקראיי
34nl 1ds 130gp 10sm	מגמארא ٠٠٠ מקראיי٠
45nl 1ds 130gp 10sm	מיגמארא٠
31nl 2ds 130gp 10sm	ההיא איתתא דאזמנוה
41nl 2ds 130gp 10sm	לדינא קמי אמימר לנהרדע٠ אזל אמימר
51nl 2ds 130gp 10sm	למחוזא ולא אזל בתריה٠ כתב פתיחא עילוה٠
81nl 2ds 130gp 10sm	אמר ליה٠ הני מילי "למען עדות החדש"٠
32nl 2ds 130gp 10sm	שית דפרקין٠ חדא
42nl 2ds 130gp 10sm	דפרקין קמא٠
54nl 2ds 130gp 10sm	ואידך٠ כיון דתלמידיה קאמרי ליה
64nl 2ds 130gp 10sm	לאו אורח ארא למימרא ליה רביך٠
25nl 2ds 130gp 10sm	ואמר מילתא ואסתבר٠
90nl 1ds 230gp 10sm	רחמנא אמר٠ אדכר٠ אלא "למה מזכיר"
01nl 1ds 230gp 10sm	"עשר٠ הואיל" ואשתני אשתני٠
23nl 1ds 230gp 10sm	מכל^ל^ דעברוה לאלול٠
34nl 1ds 230gp 10sm	איכא ביניהו חדא٠
44nl 1ds 230gp 10sm	ואיכא ביניהו טובא٠
30nl 2ds 230gp 10sm	ואע׳ג דאמר רב נחמן٠ כל כי
40nl 2ds 230gp 10sm	האיי ריתחא {לידתה} <לירתח> "הקב׳ה"
50nl 2ds 230gp 10sm	עלן ולפרוקינן٠ כיון דברתחא כת׳٠ לאו אורח ארא למימריה٠
92nl 2ds 230gp 10sm	דיאבא אין "לכתחילה" לא ٠٠٠ דיאבא "אין"٠
23nl 2ds 230gp 10sm	בשלמא "זכרונות ושופרות" איכא טובא٠ אלא "מלכיות" תלת
33nl 2ds 230gp 10sm	הויאן٠
84nl 2ds 230gp 10sm	השתא דרבנן אמרת לא٠ דאוריתא מיבעיא٠
30nl 1ds 330gp 10sm	"לא תעשה" סכינא٠
70nl 1ds 330gp 10sm	מתניתין מני٠
01nl 1ds 330gp 10sm	הא "נשים" מעכבינן٠
71nl 1ds 330gp 10sm	"ביום טוב" הוא דלא מעכבינן٠ האמרת רישה
81nl 1ds 330gp 10sm	אפלו "בשבת" לא קשיא٠
70nl 2ds 330gp 10sm	לימא תיובתיה דרבי זורא٠
80nl 2ds 330gp 10sm	דאמר ליה ר׳ זורא לשמעיה٠ איכוון ותקע
90nl 2ds 330gp 10sm	לי٠ דלמא איידי דתנא רישה "מתעסק"٠ תנא
01nl 2ds 330gp 10sm	סופה "מתעסק"٠
91nl 2ds 330gp 10sm	תנא דידן קא
02nl 2ds 330gp 10sm	חשיב "תקיעות" דכולהו באבא "כתרועות" דכולהו
12nl 2ds 330gp 10sm	באבי٠ תנא ברא קא ֗ח֗שיב חד באבא٠
32nl 2ds 330gp 10sm	בהא ודאי
42nl 2ds 330gp 10sm	פליגי٠ כת׳ "יום תרועה יהיה לכם"٠
52nl 2ds 330gp 10sm	ומתרגמינן٠ "יום יבבא"٠ וכת׳ באמיה
62nl 2ds 330gp 10sm	דסיסרא "בעד החלון נשקפה ותיבב" "כו׳٠"
72nl 2ds 330gp 10sm	מר סבר٠ האיי "ותייבב" ילולי הוא٠ ומר סבר٠ גנוחי הוא٠
90nl 1ds 430gp 10sm	והאיי תנא מעיקרה מייתי
01nl 1ds 430gp 10sm	בהקישא٠ לבסוף מייתי לה "בגזרה שוה"٠
11nl 1ds 430gp 10sm	הכי קאמר٠ או לאו "גזרה שוה" הוה מייתינא
21nl 1ds 430gp 10sm	לה בהקישא٠ השתא דאתאי "גזרה שוה"
31nl 1ds 430gp 10sm	הקישא לא צריך٠ והאיי תנא מייתי לה "ממדבר"٠
93nl 1ds 430gp 10sm	"העברת" "תעבירו" ־<לא#20#> משמע ליה٠
04nl 1ds 430gp 10sm	"תעבירו" מי קא אמר רחמנא٠ עבריה "ביד"٠ ואידך٠ דרב מתנה מידשני
14nl 1ds 430gp 10sm	קרא בדיבוריה٠ "תעבירו ביד" לא מצית אמרת דגמר "העברה העברה" ממשה٠
54nl 1ds 430gp 10sm	אתקין ר׳ אבהו
64nl 1ds 430gp 10sm	בקיסרי ٠٠٠ מאי נפשך٠ או ילולי הוא וליעביד
74nl 1ds 430gp 10sm	"תקיעה תרועה ותקיעה"٠ או גנוחי הוא לי^ב^י "תקיעה שלשה שברים"
84nl 1ds 430gp 10sm	"תקיעה"٠ מ{פס}<ספ>קא ליה או ילולי הוא או גנוחי הוא٠ מתקיף לה רב עוירא٠ ודלמא ילולי הוא٠ וקא מפסקי
94nl 1ds 430gp 10sm	"תרועה" בין "שברים לתקיעה"٠ דהדר עביד "תקיעה תרועה ותקיעה"٠ מתקיף לה רבינא٠
05nl 1ds 430gp 10sm	ודלמא גנוחי הוא٠ וקא מפסקא "תרועה" בין "שברים לתקיעה"٠ דהוה עביד "תקיעה שלשה שברים ותקיעה"٠ יהכי דר׳ אבהו למא לי٠
15nl 1ds 430gp 10sm	או ילולי הוא הא קא עבדינן٠ או גנוחי הוא הקא עבדינן٠ מ{פס}<ספ>קא ליה דלמא גנח ויליל٠ או הכי
25nl 1ds 430gp 10sm	ליבי נמי איפכה ٠٠٠ דלמא יליל וגנח٠ סתמא דמילתא٠
35nl 1ds 430gp 10sm	גנח מגנח איניש והדר מיליל٠
80nl 2ds 430gp 10sm	הא דידיה הא דרביה٠
90nl 2ds 430gp 10sm	ודידיה לא٠ והא ר׳ אבהו הוה קאזיל
01nl 2ds 430gp 10sm	בתריה דר׳ יוחנן٠ והוה קא קארו "קרית שמע"٠ כיון
11nl 2ds 430gp 10sm	דמטא "מבואות המטונפין" פסק٠ בתר דחליף אמר ליה٠
31nl 2ds 430gp 10sm	הכי קאמ׳ ליה٠
41nl 2ds 430gp 10sm	לדידי לא סבירא לי٠ את דסבירא לך٠
32nl 2ds 430gp 10sm	טעמא דלא הו֗ה֗
42nl 2ds 430gp 10sm	ליה "שופר" מעיקרה٠ ה֗א֗ הוה להו "שופר"
52nl 2ds 430gp 10sm	מעיקרה٠ כי שמע להו ־<על "סדר ברכות" שמע>
62nl 2ds 430gp 10sm	<להוּ#20#> רב פפא בר שמואל קם לצלוי֗י֗٠ א֗מ֗ר לן
72nl 2ds 430gp 10sm	לשמעיה٠ כי נהרנא לך ֗ת֗קע לי٠
53nl 2ds 430gp 10sm	פשיטא٠ ה{י}א דאוריתא והא דרבנן٠
24nl 2ds 430gp 10sm	שמעה חייה בריה דרבא בר נחמני אזל אמרה קמיה דרב דימי בר
34nl 2ds 430gp 10sm	חיננא٠ אמר ליה٠ רבה בר בר חונא
44nl 2ds 430gp 10sm	נמי הכי אמר٠ כי אמרה ר׳ יוחנן להא שמעתא٠ איפליג עליה ריש לקיש٠
10nl 1ds 530gp 10sm	כי סליק ר׳ אבא ٠٠٠
11nl 1ds 530gp 10sm	מאי שנא הני٠ או לימא משום דנפשו בהו
21nl 1ds 530gp 10sm	קראיי٠
41nl 1ds 530gp 10sm	אלא משום דאיישא٠
12nl 1ds 530gp 10sm	"אבל דכל השנה כולה" לא אתי٠ והא רב יהודה מסדר
22nl 1ds 530gp 10sm	צלותיה ומצלי٠ שא^נ^י רב יהודה٠ כיון דמיתלתין יומי לתלתין יומי הוא דמצלי
32nl 1ds 530gp 10sm	"כפרקים" דאמי٠
42nl 1ds 530gp 10sm	ולא מבעיא הני דקיימי הכא٠ אדרבה٠ הני אניסי הני לא אניסי٠
72nl 1ds 530gp 10sm	"לא פטר רבן גמליאל אלא העם שבשדות הואיל" ואניסי٠
